1029,9.84,57,50,5.66,75,0,10000,17,0,2,3,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000
1029,9.84,57,50,5.66,75,0,10000,20,0,2,3,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000
1029,9.84,57,50,5.66,75,0,10000,23,0,2,3,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000
1029,9.84,57,50,5.66,75,0,10000,2,0,3,3,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000
1029,9.84,57,50,5.66,75,0,10000,5,0,3,3,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000
1029,9.84,57,50,5.66,75,0,10000,8,0,3,3,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000
1029,9.84,57,50,5.66,75,0,10000,11,0,3,3,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000
1029,9.84,57,50,5.66,75,0,10000,14,0,3,3,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000
1029,9.84,57,50,5.66,75,0,10000,17,0,3,3,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000
1029,9.84,57,50,5.66,75,0,10000,20,0,3,3,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000
1029,9.84,57,50,5.66,75,0,10000,23,0,3,3,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000
1029,9.84,57,50,5.66,75,0,10000,2,0,4,3,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000
1029,9.84,57,50,5.66,75,0,10000,5,0,4,3,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000
1029,9.84,57,50,5.66,75,0,10000,8,0,4,3,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000
1029,9.84,57,50,5.66,75,0,10000,11,0,4,3,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000
1029,9.84,57,50,5.66,75,0,10000,14,0,4,3,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000
1029,9.84,57,50,5.66,75,0,10000,17,0,4,3,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000
1029,9.84,57,50,5.66,75,0,10000,20,0,4,3,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000
1029,9.84,57,50,5.66,75,0,10000,23,0,4,3,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000
1029,9.84,57,50,5.66,75,0,10000,2,0,5,3,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000
1029,9.84,57,50,5.66,75,0,10000,5,0,5,3,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000
1029,9.84,57,50,5.66,75,0,10000,8,0,5,3,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000
1029,9.84,57,50,5.66,75,0,10000,11,0,5,3,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000
1029,9.84,57,50,5.66,75,0,10000,14,0,5,3,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000
1029,9.84,57,50,5.66,75,0,10000,17,0,5,3,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000
1029,9.84,57,50,5.66,75,0,10000,20,0,5,3,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000
1029,9.84,57,50,5.66,75,0,10000,23,0,5,3,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000
1029,9.84,57,50,5.66,75,0,10000,2,0,6,3,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000
1029,9.84,57,50,5.66,75,0,10000,5,0,6,3,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000
1029,9.84,57,50,5.66,75,0,10000,8,0,6,3,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000
1029,9.84,57,50,5.66,75,0,10000,11,0,6,3,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000
1029,9.84,57,50,5.66,75,0,10000,14,0,6,3,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000
1029,9.84,57,50,5.66,75,0,10000,17,0,6,3,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000
1029,9.84,57,50,5.66,75,0,10000,20,0,6,3,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000
1029,9.84,57,50,5.66,75,0,10000,23,0,6,3,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000
1029,9.84,57,50,5.66,75,0,10000,2,0,7,3,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000
1029,9.84,57,50,5.66,75,0,10000,5,0,7,3,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000
1029,9.84,57,50,5.66,75,0,10000,8,0,7,3,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000
1029,9.84,57,50,5.66,75,0,10000,11,0,7,3,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000
1029,9.84,57,50,5.66,75,0,10000,14,0,7,3,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000,1029,9.84,57,41,6.16,75,0,10000
1029,9.84,57,50,5.66,75,0,10000,17,0,7,3,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000,1029,9.5,61,42,5.35,55,0,10000
1029,9.84,57,50,5.66,75,0,10000,20,0,7,3,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000,1030,8.15,63,39,5.92,36,0,10000
1029,9.84,57,50,5.66,75,0,10000,23,0,7,3,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000,1030,6.59,75,46,5.63,11,0,10000
1029,9.84,57,50,5.66,75,0,10000,2,0,8,3,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000,1030,5.22,76,35,4.02,7,0,10000
1029,9.84,57,50,5.66,75,0,10000,5,0,8,3,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000,1030,6.25,78,27,4.13,29,0,10000
1029,9.84,57,50,5.66,75,0,10000,8,0,8,3,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000,1029,8.4,65,22,5.32,67,0,10000
1029,9.84,57,50,5.66,75,0,10000,11,0,8,3,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000,1028,8.95,60,8,4.85,73,0,10000
